Outcome,Variant,Sex,Model,Predictors,N train,N test,Prevalence test,AUC,CV AUC mean,CV AUC sd,CV F1 macro,Train AUC,Threshold,Brier,Calibration slope,Calibration intercept,Accuracy,Sensitivity,Specificity,PPV,NPV,F1,F1 macro,Kappa,TP,FP,TN,FN,Accuracy at threshold,Sensitivity at threshold,Specificity at threshold,PPV at threshold,NPV at threshold,F1 at threshold,F1 macro at threshold,Kappa at threshold,TP at threshold,FP at threshold,TN at threshold,FN at threshold,AUC CI low,AUC CI high,Sensitivity CI low,Sensitivity CI high,Specificity CI low,Specificity CI high,Brier CI low,Brier CI high,Fit time (s)
Combined,Baseline,Men,XGBoost,570,4207,1052,0.4363,0.6235,0.6303,0.022,0.597,0.9742,0.4639,0.2465,0.4399,0.01,0.5903,0.4749,0.6796,0.5343,0.6258,0.5029,0.5772,0.1565,218,190,403,241,0.5903,0.5272,0.6391,0.5307,0.6359,0.529,0.5832,0.1665,242,214,379,217,0.592,0.6572,0.4834,0.5708,0.6045,0.6784,0.2335,0.2592,267.2
Combined,Baseline,Men,Gradient boosting,570,4207,1052,0.4363,0.6646,0.6654,0.0131,0.616,0.808,0.4474,0.2267,0.893,-0.0147,0.634,0.4924,0.7437,0.5979,0.6543,0.54,0.6181,0.2409,226,152,441,233,0.6359,0.6166,0.6509,0.5776,0.6868,0.5964,0.6324,0.2655,283,207,386,176,0.6326,0.6974,0.5718,0.6596,0.6135,0.6891,0.2179,0.2354,74.8
Combined,Baseline,Men,Histogram gradient boosting,570,4207,1052,0.4363,0.6651,0.65,0.012,0.5998,0.9678,0.4416,0.2271,0.8272,-0.002,0.6397,0.4924,0.7538,0.6075,0.6574,0.5439,0.6231,0.2516,226,146,447,233,0.6283,0.6078,0.6442,0.5694,0.6797,0.588,0.6247,0.2501,279,211,382,180,0.6329,0.6983,0.5626,0.6493,0.6058,0.6817,0.2178,0.2371,54.6
Combined,Baseline,Men,Bagging,570,4207,1052,0.4363,0.6518,0.6516,0.0119,0.6063,0.9963,0.4933,0.2297,0.8728,-0.0347,0.6236,0.4902,0.7268,0.5814,0.6481,0.5319,0.6086,0.2209,225,162,431,234,0.6188,0.4989,0.7116,0.5725,0.6472,0.5332,0.6055,0.2136,229,171,422,230,0.6184,0.6852,0.451,0.5451,0.677,0.7461,0.2213,0.2379,812.8
Combined,Baseline,Men,SGD classifier,570,4207,1052,0.4363,0.6318,0.6245,0.02,0.5979,0.7679,0.4748,0.2517,0.3537,-0.0534,0.6074,0.5076,0.6847,0.5548,0.6424,0.5301,0.5965,0.1941,233,187,406,226,0.6046,0.549,0.6476,0.5466,0.6497,0.5478,0.5982,0.1965,252,209,384,207,0.5961,0.6656,0.5031,0.5917,0.6069,0.6835,0.2375,0.2668,35.7
Combined,Baseline,Men,K-nearest neighbors,570,4207,1052,0.4363,0.5561,0.5643,0.0201,0.5334,1.0,0.5027,0.2539,0.305,0.1335,0.557,0.2876,0.7656,0.4871,0.5813,0.3616,0.5112,0.0558,132,139,454,327,0.5599,0.2876,0.7707,0.4925,0.5829,0.3631,0.5134,0.0611,132,136,457,327,0.5194,0.5908,0.2477,0.3298,0.7348,0.8017,0.2441,0.2644,35.2
Statins,PostIndex,Women,Penalised logistic regression,574,4632,1158,0.31,0.7663,0.7681,0.0117,0.709,0.8159,0.3737,0.1659,0.8837,0.0639,0.7781,0.4039,0.9462,0.7713,0.7794,0.5302,0.6924,0.4029,145,43,756,214,0.7781,0.5181,0.8949,0.6889,0.8052,0.5914,0.7195,0.4432,186,84,715,173,0.7348,0.7955,0.4671,0.5685,0.8727,0.9147,0.153,0.1787,717.8
Statins,PostIndex,Women,Random forest,574,4632,1158,0.31,0.7519,0.7498,0.0152,0.6513,0.9999,0.3288,0.1752,1.3596,0.0056,0.7634,0.3454,0.9512,0.7607,0.7638,0.4751,0.6612,0.3491,124,39,760,235,0.7098,0.6407,0.7409,0.5263,0.8211,0.5779,0.6784,0.3601,230,207,592,129,0.7195,0.7827,0.5891,0.6896,0.7114,0.7709,0.1643,0.1865,101.3
Statins,PostIndex,Women,Neural network,574,4632,1158,0.31,0.7394,0.7099,0.0073,0.6678,0.8842,0.3783,0.1795,0.5983,0.2712,0.7617,0.4206,0.9149,0.6895,0.7785,0.5225,0.6818,0.3759,151,68,731,208,0.7522,0.5237,0.8548,0.6184,0.7998,0.5671,0.6967,0.3952,188,116,683,171,0.7074,0.7713,0.4709,0.5759,0.8299,0.8781,0.1645,0.1952,663.0
Statins,PostIndex,Women,XGBoost,574,4632,1158,0.31,0.7491,0.7716,0.0161,0.7117,1.0,0.3233,0.1836,0.3969,0.8145,0.7712,0.454,0.9136,0.7026,0.7883,0.5516,0.699,0.4074,163,69,730,196,0.7582,0.5153,0.8673,0.6357,0.7993,0.5692,0.7006,0.4037,185,106,693,174,0.715,0.7825,0.4621,0.5653,0.8426,0.8909,0.1659,0.2031,232.7
